@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Price numeric

@data
2013,1,2,2,3.7944
2013,1,3,3,3.77125
2013,1,4,4,3.7444
2013,1,6,6,3.74125
2013,1,7,0,3.76125
2013,1,8,1,3.7544
2013,1,9,2,3.74815
2013,1,10,3,3.73
2013,1,11,4,3.7894
2013,1,13,6,3.8375
2013,1,14,0,3.85125
2013,1,15,1,3.9169
2013,1,16,2,3.93375
2013,1,17,3,3.9269
2013,1,18,4,3.9525
2013,1,20,6,3.9525
2013,1,22,1,3.8819
2013,1,23,2,3.8644
2013,1,24,3,3.8569
2013,1,25,4,3.8794
2013,1,27,6,3.8975
2013,1,28,0,3.8919
2013,1,29,1,3.8694
2013,1,30,2,3.93375
2013,1,31,3,3.90815
2013,2,1,4,3.83065
2013,2,3,6,3.8294
2013,2,4,0,3.8269
2013,2,5,1,3.78815
2013,2,6,2,3.79875
2013,2,7,3,3.78375
2013,2,8,4,3.78065
2013,2,10,6,3.7894
2013,2,11,0,3.7094
2013,2,12,1,3.67125
2013,2,13,2,3.68875
2013,2,14,3,3.6719
2013,2,15,4,3.71
2013,2,19,1,3.66375
2013,2,20,2,3.6844
2013,2,21,3,3.615
2013,2,22,4,3.5694
2013,2,24,6,3.60065
2013,2,25,0,3.5294
2013,2,26,1,3.5594
2013,2,27,2,3.56
2013,2,28,3,3.5819
2013,3,1,4,3.6019
2013,3,3,6,3.595
2013,3,4,0,3.5175
2013,3,5,1,3.52625
2013,3,6,2,3.41625
2013,3,7,3,3.47815
2013,3,8,4,3.4819
2013,3,10,6,3.4969
2013,3,11,0,3.50375
2013,3,12,1,3.515
2013,3,13,2,3.56125
2013,3,14,3,3.6244
2013,3,15,4,3.61565
2013,3,17,6,3.58315
2013,3,18,0,3.57065
2013,3,19,1,3.6369
2013,3,20,2,3.66815
2013,3,21,3,3.6419
2013,3,22,4,3.6469
2013,3,24,6,3.65
2013,3,25,0,3.63065
2013,3,26,1,3.64815
2013,3,27,2,3.68
2013,3,28,3,3.44125
2013,3,31,6,3.4225
2013,4,1,0,3.3369
2013,4,2,1,3.3719
2013,4,3,2,3.5094
2013,4,4,3,3.4625
2013,4,5,4,3.4969
2013,4,8,0,3.55875
2013,4,9,1,3.53625
2013,4,10,2,3.4844
2013,4,11,3,3.4925
2013,4,12,4,3.57065
2013,4,15,0,3.46315
2013,4,16,1,3.51815
2013,4,17,2,3.5169
2013,4,18,3,3.52065
2013,4,19,4,3.5419
2013,4,22,0,3.51065
2013,4,23,1,3.4894
2013,4,24,2,3.45125
2013,4,25,3,3.50815
2013,4,26,4,3.4344
2013,4,29,0,3.57625
2013,4,30,1,3.65125
2013,5,1,2,3.59815
2013,5,2,3,3.64625
2013,5,3,4,3.60875
2013,5,6,0,3.51125
2013,5,7,1,3.53815
2013,5,8,2,3.5275
2013,5,9,3,3.62065
2013,5,10,4,3.5175
2013,5,13,0,3.5469
2013,5,14,1,3.5619
2013,5,15,2,3.4694
2013,5,16,3,3.4444
2013,5,17,4,3.41315
2013,5,20,0,3.43125
2013,5,21,1,3.3994
2013,5,22,2,3.4344
2013,5,23,3,3.525
2013,5,24,4,3.4819
2013,5,28,1,3.4675
2013,5,29,2,3.5019
2013,5,30,3,3.4894
2013,5,31,4,3.53315
2013,6,3,0,3.5469
2013,6,4,1,3.54815
2013,6,5,2,3.5069
2013,6,6,3,3.4925
2013,6,7,4,3.48125
2013,6,10,0,3.45125
2013,6,11,1,3.48065
2013,6,12,2,3.4094
2013,6,13,3,3.42815
2013,6,14,4,3.40565
2013,6,17,0,3.4169
2013,6,18,1,3.4344
2013,6,19,2,3.52565
2013,6,20,3,3.4994
2013,6,21,4,3.4894
2013,6,24,0,3.43875
2013,6,25,1,3.42565
2013,6,26,2,3.38315
2013,6,27,3,3.3644
2013,6,28,4,3.2844
2013,7,1,0,3.28315
2013,7,2,1,3.2819
2013,7,3,2,3.33
2013,7,4,3,3.33
2013,7,5,4,3.2994
2013,7,8,0,3.3119
2013,7,9,1,3.3819
2013,7,10,2,3.39065
2013,7,11,3,3.4119
2013,7,12,4,3.405
2013,7,15,0,3.3475
2013,7,16,1,3.34625
2013,7,17,2,3.32625
2013,7,18,3,3.30565
2013,7,19,4,3.3194
2013,7,22,0,3.2994
2013,7,23,1,3.27315
2013,7,24,2,3.26565
2013,7,25,3,3.2419
2013,7,26,4,3.24625
2013,7,29,0,3.25565
2013,7,30,1,3.28
2013,7,31,2,3.31815
2013,8,1,3,3.29565
2013,8,2,4,3.30125
2013,8,5,0,3.22625
2013,8,6,1,3.25
2013,8,7,2,3.2194
2013,8,8,3,3.20565
2013,8,9,4,3.16815
2013,8,12,0,3.17625
2013,8,13,1,3.1375
2013,8,14,2,3.1519
