@relation QueryResult

@attribute Year numeric
@attribute DayOfYear numeric
@attribute Comments numeric

@data
2011,2,10.611111
2011,3,8.277777
2011,4,7.777777
2011,5,7.25
2011,6,6.722222
2011,7,5
2011,8,7.222222
2011,9,6.722222
2011,10,6.722222
2011,11,8.888888
2011,12,11.111111
2011,13,13.888888
2011,14,13
2011,15,11.972222
2011,16,10
2011,17,10.611111
2011,18,9
2011,19,11.722222
2011,20,12.222222
2011,21,11.416666
2011,22,14.138888
2011,23,11.972222
2011,24,11.722222
2011,25,12.25
2011,26,12.5
2011,27,11.722222
2011,28,9
2011,29,11.722222
2011,30,11.055555
2011,31,10
2011,32,11.416666
2011,33,10.611111
2011,34,10.305555
2011,35,11.666666
2011,36,16.666666
2011,37,16.722222
2011,38,12.5
2011,39,10.861111
2011,40,10.5
2011,41,10.305555
2011,42,11.972222
2011,43,10.555555
2011,44,9.694444
2011,45,13.277777
2011,46,12.777777
2011,47,10.611111
2011,48,7.833333
2011,49,7.222222
2011,50,6.111111
2011,51,5
2011,52,7.75
2011,53,8.583333
2011,54,8.138888
2011,55,8.888888
2011,56,8.888888
2011,57,5.611111
2011,58,8.277777
2011,59,8.583333
2011,60,11.416666
2011,61,12.777777
2011,62,12.222222
2011,63,12.777777
2011,64,13.277777
2011,65,13.277777
2011,66,11.722222
2011,67,11.722222
2011,68,12.222222
2011,69,12.5
2011,70,11.111111
2011,71,11.722222
2011,72,15
2011,73,15
2011,74,16
2011,75,13
2011,76,10
2011,77,9
2011,78,9.305555
2011,79,10
2011,80,8.888888
2011,81,11.111111
2011,82,10.388888
2011,83,9
2011,84,11.111111
2011,85,10.666666
2011,86,11
2011,87,11
2011,88,13.027777
2011,89,17.222222
2011,90,18.888888
2011,91,17.805555
2011,92,13.888888
2011,93,13.277777
2011,94,16.111111
2011,95,13.333333
2011,96,11.111111
2011,97,9.5
2011,98,8
2011,99,10.611111
2011,100,11.111111
2011,101,11.166666
2011,102,9.194444
2011,103,10.305555
2011,104,11.416666
2011,105,15
2011,106,14
2011,107,13.888888
2011,108,16
2011,109,15
2011,110,15.611111
2011,111,13.277777
2011,112,12.222222
2011,113,14.138888
2011,115,13.277777
2011,116,12.222222
2011,117,13.027777
2011,118,12.25
2011,119,12.888888
2011,120,15.861111
2011,121,17.611111
2011,122,16.416666
2011,123,16.722222
2011,124,21.416666
2011,125,18.888888
2011,126,14.388888
2011,127,13.888888
2011,128,12.777777
2011,129,12.75
2011,130,12.222222
2011,131,13.277777
2011,132,13.333333
2011,133,12.75
2011,134,12.388888
2011,135,11.111111
2011,136,11.111111
2011,137,12.222222
2011,138,12.777777
2011,139,13.888888
2011,140,13.333333
2011,141,14.138888
2011,142,13.333333
2011,143,12.777777
2011,144,13.027777
2011,145,13.583333
2011,146,14.388888
2011,147,14
2011,148,13.888888
2011,149,12.888888
2011,151,14.388888
2011,152,13.583333
2011,153,14.138888
2011,154,15
2011,155,15
2011,156,15
2011,157,15
2011,158,15.305555
2011,159,15
2011,160,14
2011,161,15.305555
2011,162,15
2011,163,15
2011,164,16.111111
2011,165,18.277777
2011,166,20
2011,167,16.722222
2011,168,15.305555
2011,169,16.111111
2011,170,21.722222
2011,171,25
2011,172,24.75
2011,173,18.888888
2011,174,17.222222
2011,175,15.611111
2011,176,14.694444
2011,177,16.166666
2011,178,17.25
2011,179,17
2011,180,16.111111
2011,181,17.75
2011,182,22.222222
2011,183,21
2011,184,21.944444
2011,186,22.75
2011,187,20.861111
2011,188,19.388888
2011,189,18.277777
2011,190,15
2011,191,16.722222
2011,192,15.611111
2011,193,16.861111
2011,194,16.722222
2011,195,14.388888
2011,196,15.805555
2011,197,17.777777
2011,198,17
2011,199,18
2011,200,18
2011,201,21.416666
2011,202,18.888888
2011,203,17.222222
2011,204,16.722222
2011,205,16.416666
2011,206,16.722222
2011,207,17.222222
2011,208,17.777777
2011,209,17.777777
2011,210,17.5
2011,211,17.222222
2011,212,17
2011,213,17.777777
2011,214,17.222222
2011,215,16.722222
2011,216,16.861111
2011,217,17.5
2011,218,16
2011,219,16.722222
2011,220,16.111111
2011,221,17.222222
2011,222,16.722222
2011,223,15.611111
2011,224,16.111111
2011,225,18.138888
2011,226,17.777777
2011,227,18.444444
2011,228,17.75
2011,229,17
2011,230,16.722222
2011,231,15
2011,232,17
2011,233,16.111111
2011,234,17.777777
2011,235,23
2011,236,21.416666
2011,237,18.277777
2011,238,17
2011,239,17
2011,240,17.222222
2011,241,17
2011,242,15.611111
2011,243,16
2011,244,17.777777
2011,245,18.638888
2011,246,16.972222
2011,247,16.111111
2011,249,18.277777
2011,250,20.25
2011,251,16.111111
2011,252,21
2011,253,19.694444
2011,254,18.138888
2011,255,18
2011,256,18.277777
2011,257,16.111111
2011,258,15.611111
2011,259,16.972222
2011,260,17.25
2011,261,21.666666
2011,262,23.277777
2011,263,23.027777
2011,264,20
2011,265,19.694444
2011,266,22.222222
2011,267,18.277777
2011,268,17.777777
2011,269,16.611111
2011,270,21.111111
2011,271,24.444444
2011,272,20.305555
2011,273,16.722222
2011,274,18.277777
2011,275,17
2011,276,16.111111
2011,277,16
2011,278,14
2011,279,12.222222
2011,280,14.194444
2011,281,14.388888
2011,282,15.611111
2011,283,19
2011,284,18
2011,285,15
2011,286,20.861111
2011,287,21.861111
2011,288,18
2011,289,17.777777
2011,290,20
2011,291,17.25
2011,292,16.111111
2011,293,15
2011,294,15
2011,295,18.583333
2011,296,20.861111
2011,297,16.416666
2011,298,14.388888
2011,299,12
2011,300,15.305555
2011,301,15.305555
2011,302,15
2011,303,16.416666
2011,304,16
2011,305,17.5
2011,306,16.055555
2011,307,11.166666
2011,308,9.388888
2011,309,10.888888
2011,310,10.611111
2011,311,10
2011,312,10
2011,313,10.861111
2011,314,12.5
2011,315,12.611111
2011,316,11.722222
2011,317,11.722222
2011,318,11
2011,319,12.222222
2011,320,11.972222
2011,321,12.5
2011,322,11.722222
2011,323,9.694444
2011,324,10.305555
2011,325,8.277777
2011,326,10.555555
2011,327,12.777777
2011,329,10.611111
2011,330,10.611111
2011,331,8
2011,332,9
2011,333,8
2011,334,9.805555
2011,335,15.611111
2011,336,15
2011,337,12.222222
2011,338,8.833333
2011,339,9.138888
2011,340,7.222222
2011,341,7.25
2011,342,5.611111
2011,343,7.777777
2011,344,7.222222
2011,345,9
2011,346,8.888888
2011,347,8.277777
2011,348,7.777777
2011,349,8.138888
2011,350,8.333333
2011,351,7.638888
2011,352,10
2011,353,9.388888
2011,354,7.75
2011,355,10.305555
2011,356,10
2011,357,5.861111
2011,358,5.555555
2011,360,5.611111
2011,361,8.277777
2011,362,10.611111
2011,363,11
2011,364,12.222222
2011,365,9.694444
2012,2,9.138888
2012,3,8.277777
2012,4,11.722222
2012,5,9.694444
2012,6,7.611111
2012,7,13.888888
2012,8,12.5
2012,9,9.138888
2012,10,8.833333
2012,11,8.888888
2012,12,8.888888
2012,13,9.138888
2012,14,8.833333
2012,15,6.722222
2012,16,4.694444
2012,17,5.611111
2012,18,5.861111
2012,19,8.944444
2012,20,13.888888
2012,21,11.861111
2012,22,11
2012,23,12
2012,24,10.611111
2012,25,13
2012,26,13.277777
2012,27,11
2012,28,9.694444
2012,29,11.166666
2012,30,10.611111
2012,31,10.611111
2012,32,10
2012,33,8.277777
2012,34,10.305555
2012,35,11.111111
2012,36,11.111111
2012,37,13.888888
2012,38,13.027777
2012,39,12.111111
2012,40,13.583333
2012,41,13.583333
2012,42,11.111111
2012,43,10.611111
2012,44,9
2012,45,8.277777
2012,46,8.888888
2012,47,10.611111
2012,48,11.111111
2012,49,11.111111
2012,50,8.888888
2012,51,10.611111
2012,52,11.722222
2012,53,12.5
2012,54,15.611111
2012,55,15.861111
2012,56,10.305555
2012,57,8.027777
2012,58,7.777777
2012,59,10
2012,60,9.388888
2012,61,9.138888
2012,62,10
2012,63,12.777777
2012,64,13.583333
2012,65,10
2012,66,9
2012,67,9.694444
2012,68,12.777777
2012,69,11.166666
2012,70,10
2012,71,10.305555
2012,72,13.027777
2012,73,12.888888
2012,74,13.888888
2012,75,15
2012,76,14
2012,77,8.277777
2012,78,7.777777
2012,79,10.861111
2012,80,12.777777
2012,81,13.277777
2012,82,12.222222
2012,83,11.416666
2012,84,8.277777
2012,85,7.222222
2012,86,11.111111
2012,87,12.222222
2012,88,13.277777
2012,89,13.888888
2012,90,15.305555
2012,91,13.583333
2012,92,10.944444
2012,93,12.222222
2012,94,12.888888
2012,95,9.388888
2012,96,8.888888
2012,97,10.611111
2012,98,12.777777
2012,100,12.222222
2012,101,12.222222
2012,102,12.222222
2012,103,12.222222
2012,104,10
2012,105,11.416666
2012,106,12.222222
2012,107,13.888888
2012,108,12.222222
2012,109,14.138888
2012,110,15.611111
2012,111,20.25
2012,112,22.611111
2012,113,19.388888
2012,114,15
2012,115,17.222222
2012,116,16.722222
2012,117,14.388888
2012,118,13.027777
2012,119,15.305555
2012,120,17.25
2012,121,16.111111
2012,122,12.888888
2012,123,12.222222
2012,124,15
2012,125,13.888888
2012,126,16.111111
2012,127,19.444444
2012,128,18.277777
2012,129,18.888888
2012,130,16.722222
2012,131,18.5
2012,132,19.694444
2012,133,16.416666
2012,134,14.388888
2012,135,15.611111
2012,136,14.388888
2012,137,13.583333
2012,138,13.888888
2012,139,14.138888
2012,140,15.861111
2012,141,16.722222
