@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Price numeric

@data
2015,1,2,5.99
2015,1,3,5.99
2015,1,4,5.99
2015,1,5,5.99
2015,1,6,5.99
2015,1,7,5.99
2015,1,8,5.99
2015,1,9,5.99
2015,1,10,5.99
2015,1,11,5.99
2015,1,12,5.99
2015,1,13,5.99
2015,1,14,5.99
2015,1,15,5.99
2015,1,16,5.99
2015,1,17,5.99
2015,1,18,5.99
2015,1,19,5.99
2015,1,20,5.99
2015,1,21,5.99
2015,1,22,5.99
2015,1,23,5.99
2015,1,24,5.99
2015,1,25,5.99
2015,1,26,5.99
2015,1,27,5.99
2015,1,28,5.99
2015,1,29,5.99
2015,1,30,5.99
2015,1,31,5.99
2015,2,1,5.99
2015,2,2,5.99
2015,2,3,5.99
2015,2,4,5.99
2015,2,5,5.99
2015,2,6,5.99
2015,2,7,5.99
2015,2,8,5.99
2015,2,9,5.99
2015,2,10,5.99
2015,2,11,5.99
2015,2,12,5.99
2015,2,13,5.99
2015,2,14,5.99
2015,2,15,5.99
2015,2,16,5.99
2015,2,17,5.99
2015,2,18,5.99
2015,2,19,5.99
2015,2,20,5.99
2015,2,21,5.99
2015,2,22,5.99
2015,2,23,5.99
2015,2,24,5.99
2015,2,25,5.99
2015,2,26,5.99
2015,2,27,5.99
2015,2,28,5.99
2015,3,1,5.99
2015,3,2,5.99
2015,3,3,5.99
2015,3,4,5.99
2015,3,5,5.99
2015,3,6,5.99
2015,3,7,5.99
2015,3,8,5.99
2015,3,9,5.99
2015,3,10,5.99
2015,3,11,5.99
2015,3,12,5.99
2015,3,13,5.99
2015,3,14,5.99
2015,3,15,5.99
2015,3,16,5.99
2015,3,17,5.99
2015,3,18,5.99
2015,3,19,5.99
2015,3,20,5.99
2015,3,21,5.99
2015,3,22,5.99
2015,3,23,5.99
2015,3,24,5.99
2015,3,25,5.99
2015,3,26,5.99
2015,3,27,5.99
2015,3,28,5.99
2015,3,29,5.99
2015,3,30,5.99
2015,3,31,5.99
2015,4,1,5.99
2015,4,2,5.99
2015,4,3,5.99
2015,4,4,5.99
2015,4,6,5.99
2015,4,7,5.99
2015,4,8,5.99
2015,4,9,4.988405
2015,4,10,4.99
2015,4,11,4.99
2015,4,12,4.99
2015,4,13,4.988249
2015,4,14,4.99
2015,4,15,4.99
2015,4,16,4.99
2015,4,17,4.99
2015,4,18,4.99
2015,4,19,4.99
2015,4,20,4.99
2015,4,21,4.99
2015,4,22,4.99
2015,4,23,4.99
2015,4,24,4.99
2015,4,25,4.99
2015,4,26,4.99
2015,4,27,4.99
2015,4,28,4.99
2015,4,29,4.99
2015,4,30,4.99
2015,5,1,4.99
2015,5,2,4.99
2015,5,3,4.99
2015,5,4,5.99
2015,5,5,5.99
2015,5,6,5.99
2015,5,7,5.99
2015,5,8,5.99
2015,5,9,5.99
2015,5,10,5.99
2015,5,11,5.99
2015,5,12,5.99
2015,5,13,5.99
2015,5,14,5.99
2015,5,15,5.99
2015,5,16,5.99
2015,5,17,5.99
2015,5,18,5.99
2015,5,19,5.99
2015,5,20,5.99
2015,5,21,5.99
2015,5,22,5.99
2015,5,23,5.99
2015,5,24,5.99
2015,5,26,5.99
2015,5,27,5.99
2015,5,28,5.99
2015,5,29,5.99
2015,5,30,5.99
2015,5,31,5.99
2015,6,1,5.99
2015,6,2,5.99
2015,6,3,5.99
2015,6,4,5.99
2015,6,5,5.99
2015,6,6,5.99
2015,6,7,5.99
2015,6,8,5.99
2015,6,9,5.99
2015,6,10,5.99
2015,6,11,5.99
2015,6,12,5.99
2015,6,13,5.99
2015,6,14,5.99
2015,6,15,5.99
2015,6,16,5.99
2015,6,17,5.99
2015,6,18,5.99
2015,6,19,5.99
2015,6,20,5.99
2015,6,21,5.99
2015,6,22,5.99
2015,6,23,5.99
2015,6,24,5.99
2015,6,25,5.99
2015,6,26,5.99
2015,6,27,5.99
2015,6,28,5.99
2015,6,29,5.99
2015,6,30,5.99
2015,7,1,5.99
2015,7,2,5.99
2015,7,3,5.99
2015,7,5,5.99
2015,7,6,5.99
2015,7,7,5.99
2015,7,8,5.99
2015,7,9,5.99
2015,7,10,5.99
2015,7,11,5.99
