@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Comments numeric
@attribute Price numeric
@attribute StockQuantity numeric
@attribute SalesQuantity numeric

@data
2011,1,2,6,10.611111,5.79,163,163
2011,1,3,0,8.277777,5.79,69,149
2011,1,4,1,7.777777,5.79,109,118
2011,1,5,2,7.25,5.79,185,123
2011,1,6,3,6.722222,5.79,278,145
2011,1,7,4,5,5.79,357,153
2011,1,8,5,7.222222,5.79,204,184
2011,1,9,6,6.722222,5.79,20,183
2011,1,10,0,6.722222,5.99,46,138
2011,1,11,1,8.888888,5.99,102,123
2011,1,12,2,11.111111,5.99,158,108
2011,1,13,3,13.888888,5.99,228,107
2011,1,14,4,13,5.99,296,104
2011,1,15,5,11.972222,5.99,192,135
2011,1,16,6,10,5.99,57,163
2011,1,17,0,10.611111,5.99,133,168
2011,1,18,1,9,5.99,141,105
2011,1,19,2,11.722222,5.99,220,113
2011,1,20,3,12.222222,5.99,267,89
2011,1,21,4,11.416666,5.99,346,97
2011,1,22,5,14.138888,5.99,249,118
2011,1,23,6,11.972222,5.99,374,172
2011,1,24,0,11.722222,5.99,413,140
2011,1,25,1,12.25,5.99,438,94
2011,1,26,2,12.5,5.99,513,98
2011,1,27,3,11.722222,5.99,572,86
2011,1,28,4,9,5.99,669,112
2011,1,29,5,11.722222,5.99,557,132
2011,1,30,6,11.055555,5.99,425,195
2011,1,31,0,10,5.99,398,97
2011,2,1,1,11.416666,5.99,465,93
2011,2,2,2,10.611111,5.99,517,74
2011,2,3,3,10.305555,5.99,609,95
2011,2,4,4,11.666666,5.99,678,93
2011,2,5,5,16.666666,5.99,585,108
2011,2,6,6,16.722222,5.99,477,137
2011,2,7,0,12.5,5.99,566,155
2011,2,8,1,10.861111,5.99,610,128
2011,2,9,2,10.5,5.99,671,118
2011,2,10,3,10.305555,5.99,727,103
2011,2,11,4,11.972222,5.99,811,116
2011,2,12,5,10.555555,5.99,695,150
2011,2,13,6,9.694444,5.99,545,141
2011,2,14,0,13.277777,5.99,597,122
2011,2,15,1,12.777777,5.99,663,117
2011,2,16,2,10.611111,5.99,729,112
2011,2,17,3,7.833333,5.99,782,94
2011,2,18,4,7.222222,5.99,877,118
2011,2,19,5,6.111111,5.99,759,160
2011,2,20,6,5,5.99,599,158
2011,2,21,0,7.75,5.99,441,126
2011,2,22,1,8.583333,5.99,533,147
2011,2,23,2,8.138888,5.99,574,117
2011,2,24,3,8.888888,5.99,621,93
2011,2,25,4,8.888888,5.99,726,127
2011,2,26,5,5.611111,5.99,599,127
2011,2,27,6,8.277777,5.99,472,191
2011,2,28,0,8.583333,5.99,478,126
2011,3,1,1,11.416666,5.99,525,102
2011,3,2,2,12.777777,5.99,611,117
2011,3,3,3,12.222222,5.99,653,88
2011,3,4,4,12.777777,5.99,718,82
2011,3,5,5,13.277777,5.99,636,106
2011,3,6,6,13.277777,5.99,530,195
2011,3,7,0,11.722222,5.99,558,152
2011,3,8,1,11.722222,5.99,581,104
2011,3,9,2,12.222222,5.99,632,84
2011,3,10,3,12.5,5.99,759,140
2011,3,11,4,11.111111,5.99,824,134
2011,3,12,5,11.722222,5.99,690,149
2011,3,13,6,15,5.99,787,175
2011,3,14,0,15,5.99,849,166
2011,3,15,1,16,5.99,868,114
2011,3,16,2,13,5.99,936,111
2011,3,17,3,10,5.99,1005,109
2011,3,18,4,9,5.99,1104,137
2011,3,19,5,9.305555,5.99,967,158
2011,3,20,6,10,5.99,1058,178
2011,3,21,0,8.888888,5.99,1101,150
2011,3,22,1,11.111111,5.99,1102,80
2011,3,23,2,10.388888,5.99,1223,130
2011,3,24,3,9,5.99,1271,107
2011,3,25,4,11.111111,5.99,1361,126
2011,3,26,5,10.666666,5.99,1235,162
2011,3,27,6,11,5.99,1349,205
2011,3,28,0,11,5.99,1350,135
2011,3,29,1,13.027777,5.99,1412,126
2011,3,30,2,17.222222,5.99,1453,96
2011,3,31,3,18.888888,5.99,1513,85
2011,4,1,4,17.805555,5.99,1613,114
2011,4,2,5,13.888888,5.99,1499,154
2011,4,3,6,13.277777,5.99,1608,192
2011,4,4,0,16.111111,5.99,1643,156
2011,4,5,1,13.333333,5.99,1695,137
2011,4,6,2,11.111111,5.99,1741,112
2011,4,7,3,9.5,5.99,1854,154
2011,4,8,4,8,5.99,1907,136
2011,4,9,5,10.611111,5.99,1771,156
2011,4,10,6,11.111111,5.99,1863,177
2011,4,11,0,11.166666,5.99,1892,135
2011,4,12,1,9.194444,5.99,1963,135
2011,4,13,2,10.305555,5.99,2016,117
2011,4,14,3,11.416666,5.99,2112,142
2011,4,15,4,15,5.99,2149,108
2011,4,16,5,14,5.99,2041,143
2011,4,17,6,13.888888,5.99,2163,194
2011,4,18,0,16,5.99,2174,134
2011,4,19,1,15,5.99,2245,134
2011,4,20,2,15.611111,5.99,2301,119
2011,4,21,3,13.277777,5.99,2378,125
2011,4,22,4,12.222222,5.99,2476,152
2011,4,23,5,14.138888,5.99,2324,166
2011,4,25,0,13.277777,5.99,2631,143
2011,4,26,1,12.222222,5.99,2694,135
2011,4,27,2,13.027777,5.99,2738,108
2011,4,28,3,12.25,5.99,2798,97
2011,4,29,4,12.888888,5.99,2902,130
2011,4,30,5,15.861111,5.99,2772,130
2011,5,1,6,17.611111,5.99,2875,162
2011,5,2,0,16.416666,5.99,2932,148
2011,5,3,1,16.722222,5.99,2975,120
2011,5,4,2,21.416666,5.99,3049,123
2011,5,5,3,18.888888,5.99,3098,101
2011,5,6,4,14.388888,5.99,3183,115
2011,5,7,5,13.888888,5.99,3068,149
2011,5,8,6,12.777777,5.99,3144,154
2011,5,9,0,12.75,5.99,3209,148
2011,5,10,1,12.222222,5.99,3234,102
